ID,Gender,Race,Age_at_Release,PUMA,Gang,SupervisionRiskScoreFirst,NumSupervisionLevelFirst,Edu,Dependents,PrisonOffense,PrisonYears,NumPriArrFelon,NumPriArrMisd,NumPriArrViol,NumPriArrProp,NumPriArrDrug,NumPriArrPPVch,PriArrDVch,PriArrGunch,NumPriConvFelon,NumPriConvMisd,PriConViol,NumPriConProp,NumPriConDrug,PriConPPVch,PriConDomVch,PriConvGunch,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Y1Crim
1,1,1,45,16,0,3,1,1,3,Drug,48,6,6,1,3,3,4,0,0,3,3,0,2,2,0,0,0,0,0,1,1,0,0
2,1,1,35,16,0,6,9,3,1,Violent/Non-Sex,48,7,6,3,0,3,5,1,0,3,4,1,0,2,1,1,1,0,0,0,0,0,0
3,1,1,50,24,0,7,4,1,3,Drug,24,6,6,3,2,2,5,1,0,3,2,1,1,2,0,1,0,0,0,1,1,0,0
4,1,0,40,16,0,7,4,3,1,Property,24,8,6,0,3,3,3,0,0,3,4,0,3,2,0,0,0,0,1,1,1,0,0
5,1,0,35,16,0,4,9,3,3,Violent/Non-Sex,24,4,4,3,2,1,3,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1
7,1,1,50,18,0,2,1,3,2,999,12,10,6,1,5,1,5,0,1,3,1,0,3,0,1,0,1,0,0,0,0,0,0
9,0,1,45,5,999,7,4,2,0,Drug,12,10,4,2,5,3,3,0,0,2,4,0,3,2,1,0,0,0,1,1,0,0,1
10,1,1,45,16,0,5,1,2,3,Property,48,10,6,3,5,2,5,1,1,3,4,1,3,2,1,1,1,0,0,0,1,1,1
11,1,0,45,5,0,3,9,3,1,Violent/Non-Sex,24,3,6,2,1,1,3,1,0,0,3,0,0,0,1,0,0,1,0,1,1,0,0
13,1,0,50,18,0,3,1,3,1,Property,48,8,4,0,5,2,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0
14,1,1,35,3,1,7,999,2,0,Drug,24,10,3,1,1,5,5,0,0,0,1,1,1,2,0,0,0,0,0,1,0,1,1
17,1,1,40,16,0,6,4,3,3,Property,24,10,5,2,3,3,4,1,0,3,4,1,1,2,1,0,0,0,1,1,1,0,1
18,1,0,45,24,0,1,1,2,3,Property,12,10,6,0,5,0,5,1,1,3,2,0,3,0,1,0,0,1,0,1,0,0,0
19,1,1,50,12,0,7,4,1,3,Property,48,10,4,0,5,0,5,0,0,3,3,0,2,0,1,0,0,0,0,0,1,0,0
20,1,0,50,16,0,3,1,3,0,Property,24,10,6,0,5,1,5,0,1,2,4,0,3,0,1,0,1,1,1,1,1,0,0
21,1,1,40,5,0,3,1,2,3,Violent/Non-Sex,12,6,6,3,1,0,3,1,0,3,2,1,0,0,1,1,0,0,0,1,0,1,0
22,1,1,35,16,0,5,1,3,3,Drug,24,10,6,0,1,5,5,0,0,2,4,0,0,2,1,0,0,0,1,1,1,0,0
24,0,0,45,16,999,5,1,3,0,Other,24,10,6,3,5,1,5,1,0,3,3,0,2,1,1,0,0,0,0,1,0,0,0
25,1,1,40,18,0,5,1,3,3,Drug,12,10,6,3,1,5,5,1,0,3,4,1,1,2,1,0,0,0,1,0,0,0,1
26,1,0,50,17,0,2,999,3,1,Property,24,9,5,0,5,0,5,0,0,3,4,0,3,0,1,0,0,0,0,1,0,0,1
29,1,1,45,6,0,6,4,2,0,Property,36,7,6,0,5,0,2,0,1,2,3,0,3,0,1,0,0,0,0,1,1,0,0
30,1,1,20,2,0,10,9,3,0,Property,24,5,2,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
32,0,0,45,16,999,9,9,3,0,Property,24,10,6,2,5,0,4,0,0,3,4,1,3,0,1,0,0,0,0,1,1,0,0
33,1,0,45,25,1,8,1,2,1,Drug,24,10,2,3,4,2,5,0,1,3,3,1,1,2,1,0,1,0,0,1,1,0,0
34,0,0,40,12,999,10,9,1,3,Property,24,10,6,0,5,5,5,0,0,1,4,0,3,2,1,0,0,0,1,1,0,0,1
36,1,1,50,10,0,2,1,3,0,Drug,12,10,6,1,5,4,4,0,0,3,4,0,3,1,1,0,0,0,0,1,0,0,0
37,1,0,45,14,0,3,999,2,2,Drug,12,10,6,3,1,5,5,0,0,3,4,1,0,2,1,0,0,0,0,1,1,0,0
38,1,1,35,3,1,6,4,3,0,Property,36,10,6,0,5,0,5,0,0,2,4,0,3,0,1,0,0,0,0,1,1,0,0
39,1,1,35,12,0,3,1,2,3,Violent/Non-Sex,12,8,6,2,2,1,5,0,0,3,4,1,2,1,1,0,0,0,0,1,0,1,0
40,0,1,40,2,999,2,1,1,1,Property,24,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,1,0,35,14,0,10,9,2,1,Property,48,10,6,1,5,1,5,0,0,3,4,1,3,0,1,0,0,1,0,1,1,1,1
42,1,1,50,3,0,3,9,2,3,Violent/Non-Sex,24,9,4,3,0,0,4,0,1,2,1,1,0,0,1,1,0,0,1,0,1,1,0
47,1,0,40,12,0,4,1,2,2,Drug,12,4,6,0,2,3,4,0,0,2,4,0,1,2,1,0,0,0,0,1,0,0,0
48,1,0,40,4,0,3,9,2,1,Violent/Sex,24,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
50,1,1,40,17,0,9,9,3,0,Drug,36,7,6,1,3,3,0,0,0,3,1,0,0,2,0,0,0,1,0,0,0,0,0
51,0,0,45,9,999,7,4,1,0,Property,24,10,6,0,5,5,5,0,1,3,4,0,3,2,1,0,0,0,0,1,1,0,0
52,1,0,35,14,0,9,9,1,0,Drug,12,10,6,1,5,4,5,0,0,3,4,0,3,2,1,0,0,0,0,1,1,1,1
53,1,0,20,21,0,8,9,1,3,Other,24,6,3,1,1,1,4,1,0,3,2,1,1,1,1,1,0,0,0,1,1,0,0
54,1,1,50,3,0,5,1,3,3,Drug,12,10,6,2,5,5,5,0,0,3,4,0,3,2,1,0,0,0,0,1,0,0,0
55,1,1,40,3,0,5,9,2,3,Property,24,8,6,0,5,1,5,0,0,3,4,0,3,1,1,0,0,0,0,0,0,1,0
56,1,1,25,4,0,8,4,3,3,999,36,4,2,2,0,3,2,1,0,1,3,1,0,1,0,1,0,0,0,1,1,0,1
57,1,1,40,3,0,999,4,2,0,Violent/Sex,24,10,6,2,0,2,5,0,0,3,3,0,0,0,1,0,0,1,0,0,0,1,0
59,1,1,35,3,0,7,4,2,3,999,24,6,6,0,1,5,4,0,0,3,0,0,1,2,0,0,0,0,0,1,1,0,1
61,1,1,35,5,0,9,9,3,1,Property,36,7,5,1,2,5,3,0,0,2,4,0,1,2,0,0,0,0,0,1,1,0,0
62,0,0,50,3,999,3,999,3,0,Property,12,10,5,0,5,0,5,0,0,3,4,0,3,0,1,0,0,0,0,1,1,0,0
64,0,0,45,6,999,7,1,2,2,Other,36,10,6,3,5,1,5,1,0,2,2,0,2,1,1,0,1,0,1,1,1,0,0
65,0,0,50,19,999,7,4,2,0,Property,24,4,3,0,2,1,2,0,0,3,1,0,2,1,0,0,0,0,0,1,1,0,1
66,1,1,35,9,1,10,9,1,0,Property,24,10,6,0,5,4,5,0,0,3,4,0,3,2,1,0,0,0,0,1,0,0,1
