ID,Gender,Race,Age_at_Release,PUMA,Gang,SupervisionRiskScoreFirst,NumSupervisionLevelFirst,Edu,Dependents,PrisonOffense,PrisonYears,NumPriArrFelon,NumPriArrMisd,NumPriArrViol,NumPriArrProp,NumPriArrDrug,NumPriArrPPVch,PriArrDVch,PriArrGunch,NumPriConvFelon,NumPriConvMisd,PriConViol,NumPriConProp,NumPriConDrug,PriConPPVch,PriConDomVch,PriConvGunch,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Y1Crim,nY1Crim,Training_Sample,pyv
1,1,1,45,16,0,3,1,1,3,Drug,48,6,6,1,3,3,4,0,0,3,3,0,2,2,0,0,0,0,0,1,1,0,FALSE,TRUE,1,0.298258265
2,1,1,35,16,0,6,9,3,1,Violent/Non-Sex,48,7,6,3,0,3,5,1,0,3,4,1,0,2,1,1,1,0,0,0,0,0,FALSE,TRUE,1,0.298258265
3,1,1,50,24,0,7,4,1,3,Drug,24,6,6,3,2,2,5,1,0,3,2,1,1,2,0,1,0,0,0,1,1,0,FALSE,TRUE,1,0.298258265
4,1,0,40,16,0,7,4,3,1,Property,24,8,6,0,3,3,3,0,0,3,4,0,3,2,0,0,0,0,1,1,1,0,FALSE,TRUE,1,0.298258265
5,1,0,35,16,0,4,9,3,3,Violent/Non-Sex,24,4,4,3,2,1,3,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,TRUE,FALSE,1,0.701741735
7,1,1,50,18,0,2,1,3,2,999,12,10,6,1,5,1,5,0,1,3,1,0,3,0,1,0,1,0,0,0,0,0,FALSE,TRUE,1,0.298258265
9,0,1,45,5,999,7,4,2,0,Drug,12,10,4,2,5,3,3,0,0,2,4,0,3,2,1,0,0,0,1,1,0,0,TRUE,FALSE,1,0.701741735
10,1,1,45,16,0,5,1,2,3,Property,48,10,6,3,5,2,5,1,1,3,4,1,3,2,1,1,1,0,0,0,1,1,TRUE,FALSE,1,0.701741735
11,1,0,45,5,0,3,9,3,1,Violent/Non-Sex,24,3,6,2,1,1,3,1,0,0,3,0,0,0,1,0,0,1,0,1,1,0,FALSE,TRUE,1,0.298258265
13,1,0,50,18,0,3,1,3,1,Property,48,8,4,0,5,2,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,FALSE,TRUE,1,0.298258265
14,1,1,35,3,1,7,999,2,0,Drug,24,10,3,1,1,5,5,0,0,0,1,1,1,2,0,0,0,0,0,1,0,1,TRUE,FALSE,1,0.701741735
17,1,1,40,16,0,6,4,3,3,Property,24,10,5,2,3,3,4,1,0,3,4,1,1,2,1,0,0,0,1,1,1,0,TRUE,FALSE,1,0.701741735
18,1,0,45,24,0,1,1,2,3,Property,12,10,6,0,5,0,5,1,1,3,2,0,3,0,1,0,0,1,0,1,0,0,FALSE,TRUE,1,0.298258265
19,1,1,50,12,0,7,4,1,3,Property,48,10,4,0,5,0,5,0,0,3,3,0,2,0,1,0,0,0,0,0,1,0,FALSE,TRUE,1,0.298258265
20,1,0,50,16,0,3,1,3,0,Property,24,10,6,0,5,1,5,0,1,2,4,0,3,0,1,0,1,1,1,1,1,0,FALSE,TRUE,1,0.298258265
